FullName,UserName,FirstName,LastName,Email,CompanyName,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,CustomField7,CustomField8,CustomField9,CustomField10,Title,External Employee ID,TotalCourses,Active,UpToDate,Marking,Complete,PercentageComplete,Id,LoginDate,CreatedDate,Teams,Started,NotStarted,TotalCompleted,TotalEarnedPoint,TotalEarnedBadge,Website,Address,City,State,Zip,Country,TimeZone,Language,WorkPhone,MobilePhone,Skype,Twitter,AccessLevelId,SalesforceId,Brand,Access Role,Manager,ProfileType
Jack Pumpkinhead,jpumpkinhead@acmetesting.com,Jack,Pumpkinhead,jpumpkinhead@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Holiday Coordinator,,8,TRUE,FALSE,FALSE,FALSE,12,17773355,10/19/2020,10/19/2020,Acme Testing - Supervisors,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
James Moriarty,jmoriarty@acmetesting.com,James,Moriarty,jmoriarty@acmetesting.com,ACME Testing Agency,,,,,,,,,,,R&D Lead,,8,TRUE,FALSE,FALSE,FALSE,12,17478402,08/27/2020,08/24/2020,ACME Testing Agency Team,2,5,1,0,0,,,,,,United States,Eastern Standard Time,en-US,,,,,5,,Default,,,
John Carter,jcarter@acmetesting.com,John,Carter,jcarter@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,12,11622181,06/07/2020,08/20/2018,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
King Arthur,karthur@acmetesting.com,King,Arthur,karthur@acmetesting.com,ACME Testing Agency,,,,,,,,,,,CEO & King,,8,TRUE,FALSE,FALSE,FALSE,12,11622207,04/13/2020,08/20/2018,ACME Testing Agency Team,0,7,1,0,0,,,,,,,Pacific Standard Time,en-US,,,,,4,,Default,,,
KING KONG,kkong@acmetesting.com,KING,KONG,kkong@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Engineer,,8,TRUE,FALSE,FALSE,FALSE,12,16849175,09/28/2020,03/24/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Mad Hatter,mhatter@acmetesting.com,Mad,Hatter,mhatter@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Production,,8,TRUE,FALSE,FALSE,FALSE,0,11622211,,08/20/2018,Acme Testing - Employees,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Mister Hyde,mhyde@acmetesting.com,Mister,Hyde,mhyde@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Researcher - Mayhem,,8,FALSE,FALSE,FALSE,FALSE,12,16202757,10/24/2019,10/22/2019,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Moby Dick,MDICK@ACMETESTING.COM,Moby,Dick,MDICK@ACMETESTING.COM,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,12,16855926,06/01/2020,03/25/2020,Acme Testing - Employees,1,6,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Mother Goose,mgoose@acmetesting.com,Mother,Goose,mgoose@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Day Care Supervisor,,8,TRUE,FALSE,FALSE,FALSE,37,13197407,04/03/2020,10/26/2018,Acme Testing - Employees,0,5,3,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Natty Bumppo,nbumppo@acmetesting.com,Natty,Bumppo,nbumppo@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,12,17457192,08/20/2020,08/19/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Paul Bunyan,pbunyan@acmetesting.com,Paul,Bunyan,pbunyan@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,0,11641765,,08/24/2018,Acme Testing - Employees,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Robin Hood,rhood@acmetesting.com,Robin,Hood,rhood@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Accounting,,8,TRUE,FALSE,FALSE,FALSE,12,17782351,10/23/2020,10/20/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Sherlock Holmes,s_holmes@acmetesting.com,Sherlock,Holmes,s_holmes@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Lead Investigator,,8,FALSE,FALSE,FALSE,FALSE,0,16855325,,03/25/2020,Acme Testing - Supervisors,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Tin Woodman,t woodman@acmetesting.com,Tin,Woodman,t woodman@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Cutter,,8,TRUE,FALSE,FALSE,FALSE,12,16855426,07/28/2020,03/25/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,United States,Eastern Standard Time,en-US,,,,,5,,Default,,,
White Rabbit,wrabbit@acmetesting.com,White,Rabbit,wrabbit@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,25,11641760,03/31/2020,08/24/2018,Acme Testing - Employees,1,5,2,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
